
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Diane Nukuri,6,2,4,3,,,,,
2,2008 Summer,Francine Niyonizigiye,3,1,2,2,,,,,
3,2004 Summer,Emery Nziyunvira,7,5,2,2,,,,,
4,2000 Summer,Diane Nukuri,6,5,1,1,,,,,
5,1996 Summer,Dieudonné Kwizéra,7,6,1,1,1,,,1,Vénuste Niyongabo (1 medal)
