
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Ruddy Zang-Milama,21,19,2,5,,1,,1,Anthony Obame (1 medal)
2,2008 Summer,Mélanie Engoang,4,2,2,3,,,,,
3,2004 Summer,Mélanie Engoang,5,3,2,3,,,,,
4,2000 Summer,Mélanie Engoang,5,3,2,3,,,,,
5,1996 Summer,Roger Oyembo,7,6,1,3,,,,,
6,1992 Summer,,5,4,1,3,,,,,
7,1988 Summer,Gisèle Ongollo,2,1,1,2,,,,,
8,1984 Summer,Odette Mistoul,4,2,2,2,,,,,
9,1972 Summer,Matias Moussobou,1,1,0,1,,,,,
