
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Maher Abu Rmilah,5,3,2,3,,,,,
2,2008 Summer,Nader Al-Massri,4,2,2,2,,,,,
3,2004 Summer,Sanna Abubkheet,3,2,1,2,,,,,
4,2000 Summer,Ramy Al-Deeb,2,1,1,2,,,,,
5,1996 Summer,Majed Abu Maraheel,1,1,0,1,,,,,
