Afghanistan,1,2012 Summer,Nesar Ahmad Bahawi,6,5,1,4,,,1,1,Rohullah Nikpai (1 medal)
Afghanistan,2,2008 Summer,Nesar Ahmad Bahawi,4,3,1,2,,,1,1,Rohullah Nikpai (1 medal)
Afghanistan,3,2004 Summer,Nina Suratger,5,3,2,4,,,,,
Afghanistan,4,1996 Summer,Muhamed Aman,2,2,0,1,,,,,
Afghanistan,5,1988 Summer,,5,5,0,1,,,,,
Afghanistan,6,1980 Summer,,11,11,0,2,,,,,
Afghanistan,7,1972 Summer,Ghulam Dastagir,8,8,0,1,,,,,
Afghanistan,8,1968 Summer,,5,5,0,1,,,,,
Afghanistan,9,1964 Summer,,8,8,0,1,,,,,
Afghanistan,10,1960 Summer,,12,12,0,2,,,,,
Afghanistan,11,1956 Summer,,12,12,0,1,,,,,
Afghanistan,12,1948 Summer,,25,25,0,2,,,,,
Afghanistan,13,1936 Summer,,15,15,0,2,,,,,
Albania,1,2014 Winter,Erjon Tola,1,0,1,1,,,,,
Albania,2,2012 Summer,Romela Begaj,9,6,3,5,,,,,
Albania,3,2010 Winter,Erjon Tola,1,1,0,1,,,,,
Albania,4,2008 Summer,Sahit Prizreni,11,7,4,6,,,,,
Albania,5,2006 Winter,Erjon Tola,1,1,0,1,,,,,
Albania,6,2004 Summer,Klodiana Shala,7,5,2,4,,,,,
Albania,7,2000 Summer,Ilirjan Suli,4,2,2,3,,,,,
Albania,8,1996 Summer,Mirela Maniani-Tzelili,7,3,4,5,,,,,
Albania,9,1992 Summer,Kristo Robo,7,5,2,4,,,,,
Albania,10,1972 Summer,Afërdita Tusha,5,4,1,2,,,,,
Algeria,1,2012 Summer,Abdelhafid Benchabla,38,21,17,12,1,,,1,Taoufik Makhloufi (1 medal)
Algeria,2,2010 Winter,Mehdi-Selim Khelifi,1,1,0,1,,,,,
Algeria,3,2008 Summer,Salim Iles,56,34,22,12,,1,1,2,Soraya Haddad and Amar Benikhlef (1 medal)
Algeria,4,2006 Winter,Christelle Douibi,2,1,1,2,,,,,
Algeria,5,2004 Summer,Djabir Saïd-Guerni,61,46,15,10,,,,,
Algeria,6,2000 Summer,Djabir Saïd-Guerni,47,37,10,10,1,1,3,5,5 athletes with 1 medal
Algeria,7,1996 Summer,Karim El-Mahouab,45,39,6,9,2,,1,3,3 athletes with 1 medal
Algeria,8,1992 Summer,,35,33,2,7,1,,1,2,Hocine Soltani and Hassiba Boulmerka (1 medal)
Algeria,9,1992 Winter,Nacera Boukamoum,4,3,1,1,,,,,
Algeria,10,1988 Summer,Noureddine Tadjine,42,40,2,7,,,,,
Algeria,11,1984 Summer,Abdel Krim Ben Djemil,33,33,0,4,,,2,2,Mustapha Moussa and Mohamed Zaoui (1 medal)
Algeria,12,1980 Summer,,54,54,0,9,,,,,
Algeria,13,1972 Summer,Azzedine Azzouzi,5,5,0,2,,,,,
Algeria,14,1968 Summer,,3,3,0,2,,,,,
Algeria,15,1964 Summer,,1,1,0,1,,,,,
Andorra,1,2014 Winter,Mireia Gutiérrez,6,4,2,3,,,,,
